Saison,12/4 (affettuoso),12/8,2(/2),2(/2) (vivace),2(/4),2/4,2/4 (allegro),2/4 (andante),2/4 (dolcemente),2/4 (vivace),3,3/2,3/4-like,4/2,4/4,6/4,6/4 (affettuoso),6/4 (allegro),6/4 (andante),6/4 (giusto),6/4 (largo e giusto),6/4 (largo),6/4 (pastorale),6/4 (sostentato),6/4 (tempo giusto),6/4 (vivace e tempo giusto),6/4 (vivace),6/8,9/8,alla_breve,c (adagio),c (affettuoso),c (alla francese),c (alla minima),c (allegro moderato),c (allegro molto),c (allegro spirituoso/vivace),c (allegro),c (allegro/andante),c (allegro/vivace),c (andante e giusto),c (andante),c (andante/allegro),c (andante/sostentato),c (andante/vivace),c (giusto),c (grave),c (largo (e vivace)),c (largo a tempo),c (largo e giusto),c (largo e piano),c (largo e staccato),c (largo e vivace),c (largo piano),c (largo sostentato),c (largo),"c (largo, e giusto, e sostentato, e staccato)",c (largo/adagio),c (largo/sostentato),c (moderato),c (molto adagio),c (molto allegro),c (poco allegro),c (poco largo),c (presto),"c (presto,alla minima)",c (presto/allegro),c (sostentato e staccato),c (sostentato),c (spirituoso),c (tempo giusto),c (tombeau),c (un poco allegro),"c (un poco allegro,sostentato)",c (un poco andante),c (un poco largo),c (vivace e giusto),c (vivace e sostentato),c (vivace),"c (vivace, allegro)",c (vivace/allegro),c(4/2),"c,24/16",mixed,part,unknown
#Nv,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advent,0,29,0,0,0,5,2,0,0,2,106,7,6,0,108,4,0,0,0,0,0,0,0,0,1,0,1,14,1,5,1,0,0,0,0,0,0,22,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,2,0,19,0,217
Epiphanias,0,26,0,0,0,8,1,0,0,1,115,11,1,0,148,8,0,1,0,0,0,0,0,0,0,0,2,11,3,3,1,3,0,0,1,0,0,15,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,9,1,246
Fastenzeit,0,34,0,0,1,2,1,0,0,0,111,14,7,0,146,8,0,1,0,0,1,1,0,0,0,0,2,19,2,9,5,1,0,0,0,0,1,15,0,1,0,4,0,0,0,0,3,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,1,1,0,0,0,20,0,0,1,0,15,0,310
Karwoche,0,14,0,0,0,0,0,0,0,0,58,10,0,0,106,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,14,0,151
Marienfeste,0,15,0,0,0,1,1,0,0,0,57,2,1,0,85,7,0,0,1,0,1,0,0,0,0,0,1,6,1,1,1,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,138
Ostern,0,62,0,0,0,2,0,0,0,3,238,15,10,0,248,12,0,0,0,1,0,1,1,0,2,0,3,39,5,6,3,0,0,0,1,1,0,28,0,0,0,6,0,0,0,0,2,0,1,3,1,0,0,0,0,37,1,1,0,0,1,0,1,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,36,0,1,2,0,43,0,556
Other,0,22,0,0,0,2,3,0,0,1,69,3,3,0,110,8,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,38,0,210
Pfingsten,0,21,0,0,1,2,0,0,0,0,70,3,5,1,116,6,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,13,0,169
Trinitatis,1,123,1,0,1,10,0,2,1,2,573,47,34,1,758,29,1,1,0,0,1,2,0,2,0,0,7,91,1,21,10,3,2,0,2,0,0,78,1,2,1,23,1,0,0,0,4,0,1,6,1,1,0,1,0,117,0,1,0,2,2,2,1,0,4,0,0,0,2,0,1,2,3,0,0,0,0,0,66,0,0,0,0,118,0,1459
Vorfastenzeit,0,12,0,0,0,4,1,0,0,0,79,5,1,0,116,2,0,0,0,0,0,0,0,0,0,1,1,3,0,2,3,0,0,0,0,0,0,6,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,14,0,175
Weihnachtszeit,0,13,1,1,1,1,0,0,0,0,96,0,4,0,126,4,0,1,0,0,0,0,0,0,0,0,5,16,1,3,0,1,0,1,0,0,0,26,0,1,0,6,0,0,0,0,3,0,0,1,0,0,0,0,0,25,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,9,0,228
